open,high,low,close,volume,close_time,quote,takers_buy_base,takers_buy_quote,predicted_close,actual_close,abs_error
7685.55,7780.0,7569.83,7686.93,7501.3181,2018-04-12 07:59:59.999000-05:00,57544924.72822455,3534.788744,27120336.98147869,0.056360304,0.062741995,0.0063816905
7686.93,7739.8,7627.0,7683.18,3525.785109,2018-04-12 08:59:59.999000-05:00,27100168.75596322,1662.304104,12783168.49650023,0.06294051,0.072413936,0.009473428
6444.6,6476.46,6422.0,6442.0,2013.750542,2018-09-05 23:59:59.999000-05:00,12973944.42337637,1133.66153,7304693.384044,0.057252258,0.054758046,0.0024942122
4455.02,4596.77,4400.0,4558.86,6116.032906,2018-11-20 18:59:59.999000-05:00,27411229.61350288,3841.973483,17220023.56131034,0.025080264,0.024928777,0.00015148707
4559.91,4590.0,4459.62,4484.82,3500.741434,2018-11-20 19:59:59.999000-05:00,15834405.81663653,1746.783529,7908436.80798602,0.0237014,0.024118528,0.0004171282
4484.82,4516.42,4413.85,4468.06,2789.45474,2018-11-20 20:59:59.999000-05:00,12446362.23542957,1353.007888,6036912.11781326,0.024173647,0.025026895,0.00085324794
4467.34,4620.0,4467.34,4557.62,2949.765485,2018-11-20 21:59:59.999000-05:00,13408555.52390731,1723.652901,7834875.44933766,0.025087774,0.024329545,0.0007582288
4557.21,4700.0,4509.78,4635.0,2731.549084,2018-11-20 22:59:59.999000-05:00,12599482.22129794,1515.122255,6992597.19482717,0.026286662,0.025144517,0.0011421442
4635.0,4661.0,4563.59,4640.0,2214.725034,2018-11-20 23:59:59.999000-05:00,10202490.67834254,1217.503203,5610311.993772,0.027069896,0.025791131,0.0012787655
3907.16,3985.78,3863.74,3925.81,3580.21446,2018-11-25 07:59:59.999000-05:00,14047255.56320714,1872.600424,7348454.47296531,0.013994664,0.015256225,0.0012615612
3925.81,4025.48,3900.0,3965.28,4202.668333,2018-11-25 08:59:59.999000-05:00,16643195.08395727,2277.624852,9019618.39543065,0.0144991875,0.01594809,0.0014489032
3966.96,3971.1,3911.0,3946.77,2199.936692,2018-11-25 09:59:59.999000-05:00,8672056.58726411,1211.037817,4774554.90617589,0.013547927,0.016500546,0.0029526185
3944.33,3946.76,3851.91,3880.0,3900.539264,2018-11-25 10:59:59.999000-05:00,15160357.918609,1795.542345,6977925.57081215,0.013931543,0.016668143,0.0027366
3881.62,3911.0,3838.38,3880.85,2839.974897,2018-11-25 11:59:59.999000-05:00,11026299.37792188,1471.927585,5715829.18429892,0.013089538,0.015767848,0.0026783105
3878.27,3900.0,3811.0,3857.73,3461.015121,2018-11-25 12:59:59.999000-05:00,13303273.79156528,1741.112712,6694874.00177423,0.012963593,0.015561706,0.0025981134
3859.17,3900.0,3836.54,3860.0,2615.63484,2018-11-25 13:59:59.999000-05:00,10114037.66978607,1370.16728,5299002.63107943,0.013387054,0.015144546,0.0017574914
3862.58,4027.43,3853.0,3949.03,4779.924751,2018-11-25 14:59:59.999000-05:00,18917304.30551855,2809.202264,11118844.26036925,0.014862746,0.015533673,0.00067092665
3508.75,3534.09,3369.5,3375.0,8431.088493,2018-12-06 19:59:59.999000-05:00,29195413.91642193,3900.766824,13509051.98812943,0.010665387,0.010406162,0.00025922526
3374.99,3453.23,3353.03,3407.38,6998.166465,2018-12-06 20:59:59.999000-05:00,23764085.37250743,3823.8256,12978071.58849253,0.009620786,0.008417869,0.0012029167
3408.29,3437.37,3341.34,3382.41,4297.793982,2018-12-06 21:59:59.999000-05:00,14592511.83042837,2127.672445,7227982.78349833,0.0084373355,0.0081669325,0.000270403
3384.49,3400.0,3341.04,3367.6,2948.199499,2018-12-06 22:59:59.999000-05:00,9949295.22531066,1382.874537,4667987.67854985,0.009047866,0.0079888245,0.0010590414
3367.56,3414.43,3362.0,3397.0,2531.001266,2018-12-06 23:59:59.999000-05:00,8587834.50233543,1133.018344,3840610.55298943,0.0071263015,0.007984254,0.00085795205
3376.57,3398.61,3348.0,3372.97,2696.671644,2018-12-07 04:59:59.999000-05:00,9094615.51231544,1306.936781,4408348.87161713,0.006753534,0.008067442,0.001313908
3492.07,3493.46,3328.16,3357.75,5297.638146,2018-12-07 15:59:59.999000-05:00,18105728.65956783,2699.951234,9235428.98123864,0.0061178207,0.0066735037,0.0005556829
3357.74,3409.99,3326.5,3406.97,2615.785383,2018-12-07 16:59:59.999000-05:00,8811673.63734641,1403.104855,4727488.19653683,0.0036104918,0.007788014,0.0041775224
3405.51,3425.0,3368.0,3411.6,1840.930501,2018-12-07 17:59:59.999000-05:00,6254963.33901394,982.109491,3337454.31372219,0.007662952,0.0077627227,9.9770725e-05
3925.66,4033.55,3922.5,4022.25,8461.325422,2018-12-20 04:59:59.999000-05:00,33724238.89743325,4511.895019,17988194.47541009,0.014231175,0.013943191,0.0002879845
4022.35,4050.27,3964.01,4007.81,5437.796923,2018-12-20 05:59:59.999000-05:00,21764835.87592082,2809.235619,11248256.4927944,0.0050032437,0.016843356,0.0118401125
4008.08,4065.0,3950.0,3974.78,5384.803587,2018-12-20 06:59:59.999000-05:00,21563925.79962744,2547.578029,10205030.90843247,0.0059764087,0.0174758,0.011499392
3920.02,4000.0,3916.33,3980.05,2531.182412,2018-12-21 01:59:59.999000-05:00,10018660.43461175,1347.761216,5335077.55297982,0.014676511,0.016195828,0.0015193168
3789.98,3830.53,3759.73,3778.65,6146.815877,2019-02-24 10:59:59.999000-05:00,23326031.44730972,3187.296038,12094562.25903322,0.018072128,0.013926888,0.0041452404
3778.26,3780.0,3712.66,3758.76,7289.075604,2019-02-24 11:59:59.999000-05:00,27320527.02483533,3427.892138,12849363.12021183,0.015751332,0.014363398,0.0013879342
4857.19,4950.0,4849.0,4937.77,7134.638007,2019-04-02 19:59:59.999000-05:00,35024834.61305754,3640.802264,17880468.25460545,0.028683037,0.02977183,0.0010887943
4937.82,4950.0,4878.66,4935.43,4540.778826,2019-04-02 20:59:59.999000-05:00,22311832.93059471,2253.500598,11077730.78433941,0.0288198,0.030959474,0.0021396745
4934.64,5027.21,4929.36,5023.9,5920.962243,2019-04-02 21:59:59.999000-05:00,29499093.98581312,3127.001403,15581096.81030377,0.029539555,0.031411372,0.0018718168
5022.69,5034.99,4930.0,5000.56,5690.227454,2019-04-02 22:59:59.999000-05:00,28420574.79967614,2778.261283,13876862.94393446,0.029575467,0.032183837,0.00260837
4932.59,4994.0,4880.0,4989.17,4259.600293,2019-04-03 19:59:59.999000-05:00,21051872.99088725,2179.502902,10774045.62732285,0.02663073,0.029603474,0.0029727444
5001.01,5025.0,4970.0,5018.56,3116.62901,2019-04-11 07:59:59.999000-05:00,15586097.05716985,1594.337355,7973262.28427785,0.03408131,0.03214788,0.0019334294
5018.55,5035.89,4980.03,4986.5,1913.620769,2019-04-11 08:59:59.999000-05:00,9596591.58992199,996.924377,5000343.47246881,0.03314063,0.032803025,0.00033760443
4986.23,5015.0,4961.01,5007.08,2035.808935,2019-04-11 09:59:59.999000-05:00,10162718.66518995,1002.587577,5005245.0829116,0.03379339,0.03295584,0.00083754957
4994.32,5029.48,4970.0,5017.24,2128.221871,2019-04-11 11:59:59.999000-05:00,10642527.30310945,1202.037714,6012378.99347087,0.031793416,0.033128314,0.0013348982
5017.94,5042.66,4997.0,5036.8,1695.78295,2019-04-11 12:59:59.999000-05:00,8509015.35349633,1035.032379,5193562.63103944,0.031997442,0.032803025,0.00080558285
5220.47,5275.0,5161.62,5268.09,4288.731036,2019-04-25 19:59:59.999000-05:00,22356410.30130005,2034.717819,10611637.45004988,0.03532237,0.035989627,0.0006672591
5279.11,5304.0,5271.06,5295.05,779.479433,2019-04-26 16:59:59.999000-05:00,4120521.85571883,461.865835,2441555.2205702,0.03801194,0.03718306,0.0008288771
